province,year,public_charging_piles,source_id,source_level,source_name,source_url,cross_check_url,access_date,note
北京,2020,29000,SRC_CP_FE6F0504,A,北京市政府官网,https://www.beijing.gov.cn,,2026-03-24,社会公用充电桩
吉林,2020,3000,SRC_CP_692A64C9,A,吉林省发改委官网,https://www.jlrd.gov.cn,,2026-03-24,截至2020年末公用充电桩超3000根
宁夏,2020,1334,SRC_CP_D4115EC5,A,国家能源局,https://www.nea.gov.cn,,2026-03-24,截至2020年底
广东,2020,139127,SRC_CP_17F56B34,C,智研咨询/chyxx.com,https://www.chyxx.com,https://www.evcipa.org.cn/,2026-03-24,引用充电联盟数据
江苏,2020,120495,SRC_CP_17F56B34,C,智研咨询/chyxx.com,https://www.chyxx.com,https://www.evcipa.org.cn/,2026-03-24,引用充电联盟数据
河南,2020,17782,SRC_CP_847BCF18,C,ja750.com,https://www.ja750.com,https://www.evcipa.org.cn/,2026-03-24,截至2020年6月
上海,2021,76118,SRC_CP_A41A841D,C,深圳市汽车电子行业协会,https://www.szaeia.com,https://www.evcipa.org.cn/,2026-03-24,截至2021年11月
北京,2021,90000,SRC_CP_INEN_2021AUG_TOP3,C,国际充换电网（中商产业研究院）,https://chd.in-en.com/html/chd-2409805.shtml,https://finance.sina.com.cn/stock/resreport/2022-01-20/doc-ikyakumy1563680.shtml,2026-03-24,文中“截至2021年8月”给出：北京9.0万台（TOP10省市）
山东,2021,45600,SRC_CP_63D79C12,A,山东省政府官网/央广网,https://www.shandong.gov.cn,,2026-03-24,省政府发布
广东,2021,151000,SRC_CP_INEN_2021AUG_TOP3,C,国际充换电网（中商产业研究院）,https://chd.in-en.com/html/chd-2409805.shtml,https://finance.sina.com.cn/stock/resreport/2022-01-20/doc-ikyakumy1563680.shtml,2026-03-24,文中“截至2021年8月”给出：广东15.1万台（TOP10省市）
江苏,2021,97000,SRC_CP_SINA_2021DEC_TOP5,C,新浪财经研报（国君电新）,https://finance.sina.com.cn/stock/resreport/2022-01-20/doc-ikyakumy1563680.shtml,https://chd.in-en.com/html/chd-2409805.shtml,2026-03-24,原文“截至2021年12月…江苏9.7万台（Top5）”
浙江,2021,82000,SRC_CP_SINA_2021DEC_TOP5,C,新浪财经研报（国君电新）,https://finance.sina.com.cn/stock/resreport/2022-01-20/doc-ikyakumy1563680.shtml,https://chd.in-en.com/html/chd-2409805.shtml,2026-03-24,原文“截至2021年12月…浙江8.2万台（Top5）”
黑龙江,2021,7070,SRC_CP_D6D2D410,C,h2weilai.com,https://www.h2weilai.com,https://www.evcipa.org.cn/,2026-03-24,截至2021年底含充电桩和换电站
上海,2022,122000,SRC_CP_INEN_2022_TOP10,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,2026-03-24,文中“截至2022年12月”给出：上海12.2万台（TOP10省份）
内蒙古,2022,8200,SRC_CP_B1A03013,C,华尔街见闻,https://wallstreetcn.com,https://www.evcipa.org.cn/,2026-03-24,截至2022年底
北京,2022,110000,SRC_CP_INEN_2022_TOP10,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,2026-03-24,文中“截至2022年12月”给出：北京11万台（TOP10省份）
四川,2022,42000,SRC_CP_SCGOV_2022MAR,A,四川省人民政府（四川日报）,https://www.sc.gov.cn/10462/10464/13298/13302/2022/4/25/35540a6804ff4c29ba7e726381bc29eb.shtml,,2026-03-24,原文“截至2022年3月，四川公共充电桩总量达到4.2万个”。
安徽,2022,84000,SRC_CP_INEN_2022_TOP10,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,2026-03-24,文中“截至2022年12月”给出：安徽8.4万台（TOP10省份）
山东,2022,90000,SRC_CP_INEN_2022_TOP10,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,2026-03-24,文中“截至2022年12月”给出：山东9万台（TOP10省份）
山西,2022,33593,SRC_CP_AA87611D,C,车装网/汽车之家,https://www.autohome.com.cn,https://www.evcipa.org.cn/,2026-03-24,截至2022年底
广东,2022,383000,SRC_CP_6B0DFCB0,B,充电联盟/国际能源网,https://www.in-en.com,,2026-03-24,充电联盟年报数据
江苏,2022,130000,SRC_CP_661967C2,B,充电联盟/中国电力新闻网,https://www.chinapower.com.cn,,2026-03-24,充电联盟年报数据
河南,2022,68000,SRC_CP_INEN_2022_TOP10,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,2026-03-24,文中“截至2022年12月”给出：河南6.8万台（TOP10省份）
浙江,2022,65976,SRC_CP_4724F6B8,A,浙江省政府官网,https://www.zj.gov.cn,,2026-03-24,省政府官方发布
海南,2022,19000,SRC_CP_D7E72999,A,人民网引用海南数据,https://www.people.com.cn,,2026-03-24,截至2022年底
湖北,2022,101000,SRC_CP_INEN_2022_TOP10,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,2026-03-24,文中“截至2022年12月”给出：湖北10.1万台（TOP10省份）
福建,2022,67000,SRC_CP_INEN_2022_TOP10,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,2026-03-24,文中“截至2022年12月”给出：福建6.7万台（TOP10省份）
辽宁,2022,12200,SRC_CP_2074B746,C,国际能源网,https://www.in-en.com,https://www.evcipa.org.cn/,2026-03-24,截至2022年底
上海,2023,196000,SRC_CP_2A7FD5E2,A,人民网引用上海官方数据,https://www.people.com.cn,,2026-03-24,
云南,2023,50000,SRC_CP_E2D033D6,A,人民网引用云南数据,https://www.people.com.cn,,2026-03-24,截至2023年10月底
内蒙古,2023,11800,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
北京,2023,119200,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
吉林,2023,8400,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
四川,2023,83200,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
天津,2023,67000,SRC_CP_78A89FBA,C,网易/车装网,https://www.163.com,https://www.evcipa.org.cn/,2026-03-24,截至2023年底
宁夏,2023,3900,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
安徽,2023,101000,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
山东,2023,102300,SRC_CP_291E4567,A,山东省政府官网,https://www.shandong.gov.cn,,2026-03-24,截至2023年9月底
山西,2023,39700,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
广东,2023,563000,SRC_CP_40421169,B,充电联盟/证券时报,https://www.stcn.com,,2026-03-24,充电联盟年报数据
广西,2023,65000,SRC_CP_7A8B871D,A,人民网引用广西数据,https://www.people.com.cn,,2026-03-24,截至2023年9月
新疆,2023,8300,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
江苏,2023,167900,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
江西,2023,32100,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
河北,2023,59900,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
河南,2023,89900,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
浙江,2023,142000,SRC_CP_7507F9F7,A,新华网/浙江政府,https://www.news.cn,,2026-03-24,
海南,2023,40100,SRC_CP_549A5BED,A,新华网/21世纪经济报道,https://www.news.cn,,2026-03-24,截至2023年11月底
湖北,2023,170000,SRC_CP_6B0DFCB0,B,充电联盟/国际能源网,https://www.in-en.com,,2026-03-24,首次超北京跃居第五
湖南,2023,54183,SRC_CP_933DC408,A,中国新闻网/湖南政府,https://www.chinanews.com.cn,,2026-03-24,截至2023年11月
甘肃,2023,11200,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
福建,2023,84900,SRC_CP_545545D0,C,东方财富网,https://www.dfcfw.com,https://www.evcipa.org.cn/,2026-03-24,截至2023年底
贵州,2023,31700,SRC_CP_2074B746,C,国际能源网,https://www.in-en.com,https://www.evcipa.org.cn/,2026-03-24,截至2023年底
辽宁,2023,15200,SRC_CP_2074B746,C,国际能源网,https://www.in-en.com,https://www.evcipa.org.cn/,2026-03-24,截至2023年底
重庆,2023,31700,SRC_CP_6E315413,A,重庆市政府官网,https://www.cq.gov.cn,,2026-03-24,截至2024年5月数据近似2023年底
陕西,2023,54500,SRC_CP_545545D0,C,东方财富网,https://www.dfcfw.com,https://www.evcipa.org.cn/,2026-03-24,
青海,2023,3000,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
黑龙江,2023,9700,SRC_CP_2023_LEADLEO,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,2026-03-24,由图表“2023年分省公共充电桩（万台）”读取，单位已换算为台
